DATETIME,open,high,low,QUANTITY,1,2,3,4,5,6,7,8,9,10,11,12,RATE,IBS
2022-02-25 12:50:00,163.25,163.35000000000002,163.09,-4941,-4941.0,-6068.0,-10796.0,-2503.0,5429.0,32132.0,34388.0,27850.0,29813.0,27908.0,31136.0,38122.0,163.23,0.538461538461446
2022-02-25 12:55:00,163.28,163.5,163.22,-2770,-2770.0,-7711.0,-8838.0,-13566.0,-5273.0,2659.0,29362.0,31618.0,25080.0,27043.0,25138.0,28366.0,163.22,0.0
2022-02-25 13:00:00,163.22,163.7,163.14999999999998,10925,10925.0,8155.0,3214.0,2087.0,-2641.0,5652.0,13584.0,40287.0,42543.0,36005.0,37968.0,36063.0,163.7,1.0
2022-02-25 13:05:00,163.76,164.26,163.49,-1705,-1705.0,9220.0,6450.0,1509.0,382.0,-4346.0,3947.0,11879.0,38582.0,40838.0,34300.0,36263.0,164.16,0.8701298701298744
2022-02-25 13:10:00,164.19,164.42000000000002,164.01,-5943,-5943.0,-7648.0,3277.0,507.0,-4434.0,-5561.0,-10289.0,-1996.0,5936.0,32639.0,34895.0,28357.0,164.42000000000002,1.0
2022-02-25 13:15:00,164.45999999999998,164.48000000000002,164.34,-2662,-2662.0,-8605.0,-10310.0,615.0,-2155.0,-7096.0,-8223.0,-12951.0,-4658.0,3274.0,29977.0,32233.0,164.43,0.6428571428570994
2022-02-25 13:20:00,164.43,164.8,164.43,-9298,-9298.0,-11960.0,-17903.0,-19608.0,-8683.0,-11453.0,-16394.0,-17521.0,-22249.0,-13956.0,-6024.0,20679.0,164.54000000000002,0.2972972972973305
2022-02-25 13:25:00,164.56,164.85,164.56,2772,2772.0,-6526.0,-9188.0,-15131.0,-16836.0,-5911.0,-8681.0,-13622.0,-14749.0,-19477.0,-11184.0,-3252.0,164.57,0.03448275862065924
2022-02-25 13:30:00,164.5,164.5,164.22,-5997,-5997.0,-3225.0,-12523.0,-15185.0,-21128.0,-22833.0,-11908.0,-14678.0,-19619.0,-20746.0,-25474.0,-17181.0,164.32,0.3571428571428354
2022-02-25 13:35:00,164.31,164.38,164.13,-1025,-1025.0,-7022.0,-4250.0,-13548.0,-16210.0,-22153.0,-23858.0,-12933.0,-15703.0,-20644.0,-21771.0,-26499.0,164.28,0.6000000000000227
2022-02-25 13:40:00,164.32,164.71,164.3,427,427.0,-598.0,-6595.0,-3823.0,-13121.0,-15783.0,-21726.0,-23431.0,-12506.0,-15276.0,-20217.0,-21344.0,164.66,0.8780487804877761
2022-02-25 13:45:00,164.67,164.67,164.37,-2655,-2655.0,-2228.0,-3253.0,-9250.0,-6478.0,-15776.0,-18438.0,-24381.0,-26086.0,-15161.0,-17931.0,-22872.0,164.55,0.6000000000000568
2022-02-25 13:50:00,164.56,165.57,164.51999999999998,28885,28885.0,26230.0,26657.0,25632.0,19635.0,22407.0,13109.0,10447.0,4504.0,2799.0,13724.0,10954.0,165.51,0.9428571428571413
2022-02-25 13:55:00,165.60000000000002,165.94,165.39,-1864,-1864.0,27021.0,24366.0,24793.0,23768.0,17771.0,20543.0,11245.0,8583.0,2640.0,935.0,11860.0,165.39,0.0
2022-02-25 14:00:00,165.37,165.43,164.85,-1902,-1902.0,-3766.0,25119.0,22464.0,22891.0,21866.0,15869.0,18641.0,9343.0,6681.0,738.0,-967.0,164.85,0.0
2022-02-25 14:05:00,164.91,165.36,164.91,3835,3835.0,1933.0,69.0,28954.0,26299.0,26726.0,25701.0,19704.0,22476.0,13178.0,10516.0,4573.0,165.24,0.7333333333333333
2022-02-25 14:10:00,165.26,165.55,165.14999999999998,13548,13548.0,17383.0,15481.0,13617.0,42502.0,39847.0,40274.0,39249.0,33252.0,36024.0,26726.0,24064.0,165.37,0.5500000000000214
2022-02-25 14:15:00,165.39999999999998,165.74,165.24,-894,-894.0,12654.0,16489.0,14587.0,12723.0,41608.0,38953.0,39380.0,38355.0,32358.0,35130.0,25832.0,165.74,1.0
2022-02-25 14:20:00,165.84,165.97,165.73,2442,2442.0,1548.0,15096.0,18931.0,17029.0,15165.0,44050.0,41395.0,41822.0,40797.0,34800.0,37572.0,165.88,0.625
